"NUTONE-CT350B","15.97","46.95","evacuumstore.com","Nutone Deluxe Air Turbine Brush - CT350B Replacement",<a href=https://evacuumstore.com/p-18944-nutone-deluxe-air-turbine-brush-ct350b-replacement.aspx target=_blank>Nutone Deluxe Air Turbine Brush - CT350B Replacement</a>
"POWERUNIT-DUOVAC-DISTINCTION-9.60-GALLON","0","1999.00","www.thinkvacuums.com","Duovac Distinction 9.60-Gallon System",<a href=http://www.thinkvacuums.com/central-vacuums/duovac/power-units/duovac-distinction-9-60-gallon-system.html target=_blank>Duovac Distinction 9.60-Gallon System</a>
"POWERUNIT-cs600","332","414.90","evacuumstore.com","Nutone CS600 Genuine Electric Direct Connect Central Vacuum Kit",<a href=https://evacuumstore.com/p-22768-nutone-cs600-genuine-electric-direct-connect-central-vacuum-kit.aspx target=_blank>Nutone CS600 Genuine Electric Direct Connect Central Vacuum Kit</a>
"POWERUNIT-Electrolux-3650","200","462.00","www.thinkvacuums.com","Electrolux PU3650 4-Gallon System",<a href=http://www.thinkvacuums.com/central-vacuums/electrolux/power-units/electrolux-pu3650-4-gallon-system.html target=_blank>Electrolux PU3650 4-Gallon System</a>
"CV-30-Ft-ValueFlex-Dual-Voltage-Hose-Direct-Connect","0","149.99","evacuumstore.com","30 Ft ValueFlex Dual Voltage Hose - Direct Connect",<a href=http://evacuumstore.com/p-28530-central-vacuum-30-ft-valueflex-dual-voltage-hose-direct-connect.aspx target=_blank>30 Ft ValueFlex Dual Voltage Hose - Direct Connect</a>
"CV-35-FT-ValueFlex-Dual-Volt-Hose-Direct-Connect","0","159.99","evacuumstore.com","35 Ft ValueFlex Dual Volt Hose - Direct Connect",<a href=http://evacuumstore.com/p-28528-central-vacuum-35-ft-valueflex-dual-voltage-hose-direct-connect.aspx target=_blank>35 Ft ValueFlex Dual Volt Hose - Direct Connect</a>
"POWERUNIT-NUTONE-PP600","338","419.00","www.thinkvacuums.com","NuTone PP600 6-Gallon System",<a href=http://www.thinkvacuums.com/nutone-pp600-6-gallon-system.html target=_blank>NuTone PP600 6-Gallon System</a>
"CV-30-Ft-ValueFlex-Low-Voltage-Hose","0","90.99","www.thinkvacuums.com","Central Vacuum 30 Ft PlastiFlex ValueFlex Low Voltage Hose",<a href=http://www.thinkvacuums.com/central-vacuum-30-ft-valueflex-low-voltage-hose.html target=_blank>Central Vacuum 30 Ft PlastiFlex ValueFlex Low Voltage Hose</a>
"SANITAIRE-SC5713","165.93","188.85","www.thinkvacuums.com","Sanitaire SC3700 Commercial Canister Vacuum",<a href=http://www.thinkvacuums.com/sanitaire-sc3700a-commercial-canister-vacuum.html target=_blank>Sanitaire SC3700 Commercial Canister Vacuum</a>
"CV-30-Ft-ValueFlex-Dual-Voltage-Hose-Direct-Connect","0","140.00","www.thinkvacuums.com","Central Vacuum 30 Ft PlastiFlex ValueFlex Dual Voltage Hose w/ Direct Connection",<a href=http://www.thinkvacuums.com/central-vacuum-30-ft-valueflex-dual-voltage-hose-w-direct-connection.html target=_blank>Central Vacuum 30 Ft PlastiFlex ValueFlex Dual Voltage Hose w/ Direct Connection</a>
"CV-30-Ft-ValueFlex-Dual-Voltage-Hose-Corded","0","139.99","www.thinkvacuums.com","Central Vacuum 30 Ft PlastiFlex ValueFlex Dual Voltage Hose - Corded",<a href=http://www.thinkvacuums.com/central-vacuum-30-ft-valueflex-dual-voltage-hose-corded.html target=_blank>Central Vacuum 30 Ft PlastiFlex ValueFlex Dual Voltage Hose - Corded</a>
"NUTONE-CT700","113.42","179.99","evacuumstore.com","NuTone CT700 Power Nozzle",<a href=https://evacuumstore.com/p-26839-nutone-ct700-power-nozzle.aspx target=_blank>NuTone CT700 Power Nozzle</a>
"NUTONE-CK150-kit","121.49","0.00","evacuumstore.com","Nutone CK150 Genuine Standard Central Vacuum Accessory Kit",<a href=https://evacuumstore.com/p-14221-nutone-ck150-genuine-standard-central-vacuum-accessory-kit.aspx target=_blank>Nutone CK150 Genuine Standard Central Vacuum Accessory Kit</a>
"CV-35-Ft-ValueFlex-Low-Voltage-Hose","0","109.99","evacuumstore.com","Central Vacuum 35 Ft ValueFlex Low Voltage Hose",<a href=http://evacuumstore.com/p-28526-central-vacuum-35-ft-valueflex-low-voltage-hose.aspx target=_blank>Central Vacuum 35 Ft ValueFlex Low Voltage Hose</a>
"CV-35-FT-ValueFlex-Dual-Volt-Hose-Direct-Connect","0","149.99","www.thinkvacuums.com","Central Vacuum 35 Ft ValueFlex Dual Voltage Hose w/ Direct Connection",<a href=http://www.thinkvacuums.com/central-vacuum-35-ft-valueflex-dual-voltage-hose-w-direct-connection.html target=_blank>Central Vacuum 35 Ft ValueFlex Dual Voltage Hose w/ Direct Connection</a>
